coverage_area,source_name,evidence_count,confirmed_count,pending_count,review_required_count,missing
개인정보/가명정보,"개인정보 보호법, 금융분야 인공지능 가이드라인, FSC SaaS 공식 문서",25,0,23,2,false
개인신용정보,"신용정보의 이용 및 보호에 관한 법률 시행령, 금융분야 인공지능 가이드라인, FSC SaaS 공식 문서",6,0,4,2,false
제3자 제공/위탁,"개인정보 보호법 제26조, 제28조의2 및 금융분야 인공지능 가이드라인",10,0,10,0,false
국외이전,개인정보 보호법 제28조의8 및 금융분야 인공지능 가이드라인,5,0,5,0,false
금융 AI 이용,금융분야 인공지능 가이드라인,8,0,8,0,false
SaaS/Cloud 이용,"전자금융감독규정, 금융분야 인공지능 가이드라인, FSC SaaS 공식 문서",12,0,12,0,false
암호화/접근통제/로그,"전자금융감독규정, 금융분야 인공지능 가이드라인, FSC SaaS 공식 문서",16,0,16,0,false
재식별/추가정보 관리,"개인정보 보호법 제28조의4, 제28조의5 및 금융분야 인공지능 가이드라인",6,0,5,1,false
